track	start	end	label
SriLalita-bhairavi-AS-RKM	00.48	00.49	sgrg	
SriLalita-bhairavi-AS-RKM	00.47	00.49	nsgrg
SriLalita-bhairavi-AS-RKM	01.47	01.49	nsgrg
SriLalita-bhairavi-AS-RKM	01.49	01.51	mpdp
SriLalita-bhairavi-AS-RKM	01.51	01.53	nndp
SriLalita-bhairavi-AS-RKM	02.37	02.39	pgrg
SriLalita-bhairavi-AS-RKM	02.53	02.55	rsndp

Ikanannubrova-Bhairavi-PSI-Mali	00.04	00.06	rns
Ikanannubrova-Bhairavi-PSI-Mali	00.06	00.09	rgmp
Ikanannubrova-Bhairavi-PSI-Mali	01.05	01.06	ramp
Ikanannubrova-Bhairavi-PSI-Mali	01.06	01.07	pmgrs
Ikanannubrova-Bhairavi-PSI-Mali	01.31	01.33	pdndp
Ikanannubrova-Bhairavi-PSI-Mali	01.28	01.30	grsrsnndp
Ikanannubrova-Bhairavi-PSI-Mali	02.05	02.07	pd'ns
Ikanannubrova-Bhairavi-PSI-Mali	02.16	02.17	d'ns
Ikanannubrova-Bhairavi-PSI-Mali	02.58	02.59	dpm
Ikanannubrova-Bhairavi-PSI-Mali	03.00	0302	mnd'n
Ikanannubrova-Bhairavi-PSI-Mali	04.12	04.14	rgmrgs
Ikanannubrova-Bhairavi-PSI-Mali	04.14	04.16	rgm

NeeArulayoTaye-Bhairavi-KPP-SV	00.03	00.06	n
NeeArulayoTaye-Bhairavi-KPP-SV	00.05	00.08	nddp
NeeArulayoTaye-Bhairavi-KPP-SV	00.08	00.10	mdp
NeeArulayoTaye-Bhairavi-KPP-SV	01.02	01.05	ndp
NeeArulayoTaye-Bhairavi-KPP-SV	01.12	01.14	rgmpd'
NeeArulayoTaye-Bhairavi-KPP-SV	01.59	02.01	ddndpm
NeeArulayoTaye-Bhairavi-KPP-SV	02.01	02.03	dpmg
NeeArulayoTaye-Bhairavi-KPP-SV	02.08	02.10	grgmp
NeeArulayoTaye-Bhairavi-KPP-SV	02.10	02.11	ndpm
NeeArulayoTaye-Bhairavi-KPP-SV	02.12	02.14	d'ns
NeeArulayoTaye-Bhairavi-KPP-SV	02.14	02.16	nsrgr
NeeArulayoTaye-Bhairavi-KPP-SV	02.16	02.18	sndp
NeeArulayoTaye-Bhairavi-KPP-SV	02.18	02.21	gmpd
NeeArulayoTaye-Bhairavi-KPP-SV	02.30	02.32	gmpd
NeeArulayoTaye-Bhairavi-KPP-SV	03.05	03.07	pndpm
NeeArulayoTaye-Bhairavi-KPP-SV	03.05	03.07	ndpm
NeeArulayoTaye-Bhairavi-KPP-SV	03.09	03.11	dpm
NeeArulayoTaye-Bhairavi-KPP-SV	03.09	03.11	dpmdp
NeeArulayoTaye-Bhairavi-KPP-SV	03.12	03.14	grgmp
NeeArulayoTaye-Bhairavi-KPP-SV	03.15	03.17	sgrgmp
NeeArulayoTaye-Bhairavi-KPP-SV	03.15	03.17	gmp
NeeArulayoTaye-Bhairavi-KPP-SV	03.17	03.19	pmpgm
NeeArulayoTaye-Bhairavi-KPP-SV	03.19	03.21	rgm
NeeArulayoTaye-Bhairavi-KPP-SV	03.19	03.21	gm
NeeArulayoTaye-Bhairavi-KPP-SV	03.20	03.23	gmrgsr
NeeArulayoTaye-Bhairavi-KPP-SV	03.23	03.25	rgsrns
NeeArulayoTaye-Bhairavi-KPP-SV	03.27	03.29	d'n
NeeArulayoTaye-Bhairavi-KPP-SV	03.29	03.30	ngrs
NeeArulayoTaye-Bhairavi-KPP-SV	03.28	03.30	grs
NeeArulayoTaye-Bhairavi-KPP-SV	03.30	03.32	ndp
NeeArulayoTaye-Bhairavi-KPP-SV	03.32	03.34	grs
NeeArulayoTaye-Bhairavi-KPP-SV	03.34	03.36	ndp
NeeArulayoTaye-Bhairavi-KPP-SV	03.36	03.38	grs
NeeArulayoTaye-Bhairavi-KPP-SV	03.38	03.40	rgmpd'
NeeArulayoTaye-Bhairavi-KPP-SV	04.37	04.38	nrs
NeeArulayoTaye-Bhairavi-KPP-SV	04.38	04.40	nrndp
NeeArulayoTaye-Bhairavi-KPP-SV	04.38	04.40	ndp
NeeArulayoTaye-Bhairavi-KPP-SV	04.40	04.42	mdp
NeeArulayoTaye-Bhairavi-KPP-SV	04.42	04.43	mpdp
NeeArulayoTaye-Bhairavi-KPP-SV	04.43	04.44	ndp
NeeArulayoTaye-Bhairavi-KPP-SV	04.43	04.46	ndpmgrs
NeeArulayoTaye-Bhairavi-KPP-SV	04.47	04.49	rgm
